Date,Open,High,Low,Close,Adj Close,Volume
2018-10-10,252.000000,252.000000,252.000000,252.000000,252.000000,455700
2018-10-11,300.000000,314.000000,200.000000,276.000000,276.000000,42537800
2018-10-12,276.000000,286.000000,232.000000,240.000000,240.000000,8845000
2018-10-15,238.000000,258.000000,224.000000,224.000000,224.000000,2708400
2018-10-16,210.000000,274.000000,198.000000,234.000000,234.000000,7260900
2018-10-17,242.000000,260.000000,234.000000,240.000000,240.000000,1750700
2018-10-18,240.000000,250.000000,220.000000,236.000000,236.000000,881200
2018-10-19,238.000000,270.000000,226.000000,254.000000,254.000000,2880700
2018-10-22,254.000000,314.000000,250.000000,314.000000,314.000000,7799100
2018-10-23,316.000000,392.000000,308.000000,392.000000,392.000000,22988200
2018-10-24,398.000000,490.000000,396.000000,490.000000,490.000000,19274600
2018-10-25,560.000000,610.000000,520.000000,610.000000,610.000000,18906600
2018-10-26,680.000000,760.000000,650.000000,760.000000,760.000000,8024700
2018-10-29,760.000000,760.000000,760.000000,760.000000,760.000000,0
2018-10-30,810.000000,940.000000,570.000000,570.000000,570.000000,16020500
2018-10-31,600.000000,710.000000,428.000000,700.000000,700.000000,34048600
2018-11-01,730.000000,790.000000,670.000000,670.000000,670.000000,7581600
2018-11-02,650.000000,725.000000,620.000000,685.000000,685.000000,5904100
2018-11-05,690.000000,695.000000,655.000000,660.000000,660.000000,2836900
2018-11-06,660.000000,695.000000,660.000000,685.000000,685.000000,2592800
2018-11-07,685.000000,705.000000,645.000000,655.000000,655.000000,3266500
2018-11-08,655.000000,685.000000,640.000000,650.000000,650.000000,2511000
2018-11-09,660.000000,675.000000,610.000000,645.000000,645.000000,1568600
2018-11-12,645.000000,645.000000,600.000000,640.000000,640.000000,1316300
2018-11-13,640.000000,655.000000,595.000000,630.000000,630.000000,2680400
2018-11-14,610.000000,785.000000,610.000000,695.000000,695.000000,5477800
2018-11-15,700.000000,715.000000,650.000000,705.000000,705.000000,1931100
2018-11-16,675.000000,785.000000,675.000000,770.000000,770.000000,2956900
2018-11-19,780.000000,890.000000,780.000000,860.000000,860.000000,3036800
2018-11-20,860.000000,860.000000,860.000000,860.000000,860.000000,0
2018-11-21,880.000000,1075.000000,860.000000,1075.000000,1075.000000,6482000
2018-11-22,1100.000000,1325.000000,990.000000,1005.000000,1005.000000,9122200
2018-11-23,1010.000000,1100.000000,900.000000,945.000000,945.000000,1721300
2018-11-26,945.000000,1050.000000,945.000000,995.000000,995.000000,763700
2018-11-27,1000.000000,1030.000000,865.000000,865.000000,865.000000,1203700
2018-11-28,865.000000,900.000000,705.000000,775.000000,775.000000,1799100
2018-11-29,770.000000,920.000000,740.000000,885.000000,885.000000,4684700
2018-11-30,895.000000,905.000000,780.000000,780.000000,780.000000,1240400
2018-12-03,780.000000,880.000000,780.000000,780.000000,780.000000,954000
2018-12-04,780.000000,800.000000,740.000000,795.000000,795.000000,1179600
2018-12-05,795.000000,905.000000,760.000000,820.000000,820.000000,2873400
2018-12-06,825.000000,825.000000,775.000000,775.000000,775.000000,491200
2018-12-07,775.000000,840.000000,775.000000,780.000000,780.000000,409200
2018-12-10,780.000000,800.000000,760.000000,765.000000,765.000000,303700
2018-12-11,765.000000,815.000000,755.000000,760.000000,760.000000,673900
2018-12-12,760.000000,785.000000,760.000000,760.000000,760.000000,257600
2018-12-13,770.000000,790.000000,755.000000,790.000000,790.000000,959000
2018-12-14,790.000000,795.000000,760.000000,765.000000,765.000000,3238000
2018-12-17,765.000000,780.000000,750.000000,750.000000,750.000000,181400
2018-12-18,760.000000,775.000000,750.000000,750.000000,750.000000,511200
2018-12-19,750.000000,795.000000,750.000000,795.000000,795.000000,864600
2018-12-20,805.000000,935.000000,765.000000,770.000000,770.000000,7912500
2018-12-21,780.000000,795.000000,755.000000,760.000000,760.000000,829100
2018-12-24,760.000000,760.000000,760.000000,760.000000,760.000000,0
2018-12-25,760.000000,760.000000,760.000000,760.000000,760.000000,0
2018-12-26,755.000000,785.000000,755.000000,780.000000,780.000000,538600
2018-12-27,765.000000,800.000000,765.000000,795.000000,795.000000,522800
2018-12-28,810.000000,905.000000,770.000000,770.000000,770.000000,4349500
2018-12-31,770.000000,770.000000,770.000000,770.000000,770.000000,0
2019-01-01,770.000000,770.000000,770.000000,770.000000,770.000000,0
2019-01-02,775.000000,790.000000,765.000000,770.000000,770.000000,620500
2019-01-03,765.000000,800.000000,765.000000,785.000000,785.000000,455200
2019-01-04,795.000000,800.000000,770.000000,790.000000,790.000000,358600
2019-01-07,780.000000,800.000000,775.000000,795.000000,795.000000,309400
2019-01-08,795.000000,795.000000,780.000000,785.000000,785.000000,207000
2019-01-09,790.000000,790.000000,775.000000,790.000000,790.000000,155000
2019-01-10,790.000000,790.000000,775.000000,775.000000,775.000000,178600
2019-01-11,775.000000,790.000000,775.000000,785.000000,785.000000,159900
2019-01-14,780.000000,790.000000,775.000000,785.000000,785.000000,201600
2019-01-15,785.000000,800.000000,765.000000,795.000000,795.000000,1322800
2019-01-16,795.000000,810.000000,780.000000,800.000000,800.000000,291100
2019-01-17,800.000000,800.000000,780.000000,780.000000,780.000000,112700
2019-01-18,790.000000,800.000000,775.000000,780.000000,780.000000,107300
2019-01-21,780.000000,810.000000,770.000000,780.000000,780.000000,342800
2019-01-22,780.000000,795.000000,775.000000,790.000000,790.000000,188300
2019-01-23,795.000000,795.000000,765.000000,790.000000,790.000000,245300
2019-01-24,780.000000,790.000000,770.000000,790.000000,790.000000,45800
2019-01-25,785.000000,785.000000,770.000000,780.000000,780.000000,70300
2019-01-28,770.000000,775.000000,750.000000,775.000000,775.000000,153100
2019-01-29,785.000000,790.000000,750.000000,780.000000,780.000000,433500
2019-01-30,760.000000,780.000000,760.000000,780.000000,780.000000,44900
2019-01-31,780.000000,795.000000,750.000000,775.000000,775.000000,446400
2019-02-01,780.000000,795.000000,750.000000,770.000000,770.000000,437100
2019-02-04,755.000000,770.000000,750.000000,770.000000,770.000000,38900
2019-02-05,770.000000,770.000000,770.000000,770.000000,770.000000,0
2019-02-06,775.000000,795.000000,760.000000,770.000000,770.000000,249800
2019-02-07,760.000000,770.000000,760.000000,770.000000,770.000000,20400
2019-02-08,795.000000,795.000000,760.000000,775.000000,775.000000,146500
2019-02-11,760.000000,795.000000,760.000000,770.000000,770.000000,432500
