price_date,sell_percentage,buy_percentage,yield_value
2019-10-15 00:00:00,121.9,123.15,3.87
2019-10-16 00:00:00,121.9,123.15,3.87
2019-10-17 00:00:00,121.9,123.15,3.87
2019-10-18 00:00:00,121.9,123.15,3.87
2019-10-21 00:00:00,121.9,123.15,3.87
2019-10-22 00:00:00,121.9,123.15,3.87
2019-10-23 00:00:00,121.9,123.15,3.87
2019-10-24 00:00:00,121.9,123.15,3.87
2019-10-25 00:00:00,121.9,123.15,3.87
2019-10-28 00:00:00,121.9,123.15,3.87
2019-10-29 00:00:00,121.9,123.15,3.87
2019-10-30 00:00:00,121.9,123.15,3.87
2019-10-31 00:00:00,121.9,123.15,3.87
2019-11-01 00:00:00,121.9,123.15,3.87
2019-11-04 00:00:00,122.15,123.4,3.85
2019-11-05 00:00:00,122.15,123.4,3.85
2019-11-06 00:00:00,122.15,123.4,3.85
2019-11-07 00:00:00,122.15,123.4,3.85
2019-11-08 00:00:00,122.15,123.4,3.85
2019-11-11 00:00:00,122.15,123.4,3.85
2019-11-12 00:00:00,122.15,123.4,3.85
2019-11-13 00:00:00,122.15,123.4,3.85
2019-11-14 00:00:00,122.15,123.4,3.85
2019-11-15 00:00:00,122.15,123.4,3.85
2019-11-18 00:00:00,122.15,123.4,3.85
2019-11-19 00:00:00,122.15,123.4,3.85
2019-11-20 00:00:00,122.15,123.4,3.85
2019-11-21 00:00:00,122.15,123.4,3.85
2019-11-22 00:00:00,122.15,123.4,3.85
2019-11-25 00:00:00,122.15,123.4,3.85
2019-11-26 00:00:00,122.15,123.4,3.85
2019-11-27 00:00:00,122.15,123.4,3.85
2019-11-28 00:00:00,122.15,123.4,3.85
2019-11-29 00:00:00,122.15,123.4,3.85
2019-12-02 00:00:00,122.15,123.4,3.85
2019-12-03 00:00:00,122.15,123.4,3.85
2019-12-04 00:00:00,122.15,123.4,3.85
2019-12-05 00:00:00,122.15,123.4,3.85
2019-12-06 00:00:00,122.15,123.4,3.85
2019-12-09 00:00:00,122.15,123.4,3.85
2019-12-10 00:00:00,122.15,123.4,3.85
2019-12-11 00:00:00,122.15,123.4,3.85
2019-12-12 00:00:00,122.15,123.4,3.85
2019-12-13 00:00:00,122.15,123.4,3.85
2019-12-16 00:00:00,122.15,123.4,3.85
2019-12-17 00:00:00,122.15,123.4,3.85
2019-12-18 00:00:00,122.15,123.4,3.85
2019-12-19 00:00:00,122.15,123.4,3.85
2019-12-20 00:00:00,122.15,123.4,3.85
2019-12-23 00:00:00,122.15,123.4,3.85
2019-12-26 00:00:00,122.15,123.4,3.85
2019-12-27 00:00:00,122.15,123.4,3.85
2019-12-30 00:00:00,122.15,123.4,3.85
2020-01-02 00:00:00,122.15,123.4,3.85
2020-01-03 00:00:00,122.15,123.4,3.85
2020-01-06 00:00:00,122.15,123.4,3.85
2020-01-07 00:00:00,122.15,123.4,3.85
2020-01-08 00:00:00,122.15,123.4,3.85
2020-01-09 00:00:00,122.15,123.4,3.85
2020-01-10 00:00:00,122.15,123.4,3.85
2020-01-13 00:00:00,122.15,123.4,3.85
2020-01-14 00:00:00,122.15,123.4,3.85
2020-01-15 00:00:00,122.15,123.4,3.85
2020-01-16 00:00:00,122.15,123.4,3.85
2020-01-17 00:00:00,122.15,123.4,3.85
2020-01-20 00:00:00,122.15,123.4,3.85
2020-01-21 00:00:00,122.15,123.4,3.85
2020-01-22 00:00:00,122.15,123.4,3.85
2020-01-23 00:00:00,122.15,123.4,3.85
2020-01-24 00:00:00,122.15,123.4,3.85
2020-01-27 00:00:00,122.15,123.4,3.85
2020-01-28 00:00:00,122.15,123.4,3.85
